Cap Hit,Chip,Games Missed,Injury Type,Player,Position,Season,Team,Games Missed
0.517,18.914634146,3,Upper body,"Thornton, Shawn",F,2009/10,Boston,3
0.5,6.097560976,1,Flu,"Boychuk, Johnny",D,2009/10,Boston,1
0.5,30.487804878,5,Orbital bone,"Boychuk, Johnny",D,2009/10,Boston,5
7.5,91.463414634,1,Lower body,"Chara, Zdeno",D,2009/10,Boston,1
1.4,136.585365854,8,Groin,"Ference, Andrew",D,2009/10,Boston,8
1.4,153.658536585,9,Groin,"Ference, Andrew",D,2009/10,Boston,9
1.4,239.024390244,14,Groin,"Ference, Andrew",D,2009/10,Boston,14
3.3,120.731707317,3,Undisclosed,"Morris, Derek",D,2009/10,Boston,3
2.25,109.756097561,4,Wrist,"Seidenberg, Dennis",D,2009/10,Boston,4
1.3,221.951219512,14,Chest,"Stuart, Mark",D,2009/10,Boston,14
1.3,110.975609756,7,Finger,"Stuart, Mark",D,2009/10,Boston,7
1.3,79.268292683,5,Hand,"Stuart, Mark",D,2009/10,Boston,5
3.938,48.024390244,1,Knee,"Wideman, Dennis",D,2009/10,Boston,1
3.938,144.073170732,3,Shoulder,"Wideman, Dennis",D,2009/10,Boston,3
3.938,96.048780488,2,Undisclosed,"Wideman, Dennis",D,2009/10,Boston,2
3.2,117.073170732,3,Undisclosed,"Rask, Tuukka",G,2009/10,Boston,3
4.5,493.902439024,9,Foot,"Connolly, Tim",F,2009/10,Buffalo,9
2.3,56.097560976,2,Flu,"Gaustad, Paul",F,2009/10,Buffalo,2
2.3,140.243902439,5,Hand,"Gaustad, Paul",F,2009/10,Buffalo,5
2.3,280.487804878,10,Knee,"Gaustad, Paul",F,2009/10,Buffalo,10
0.85,103.658536585,10,Groin,"Gerbe, Nathan",F,2009/10,Buffalo,10
1.2,73.170731707,5,Groin,"Grier, Mike",F,2009/10,Buffalo,5
3.525,128.963414634,3,Upper body,"Hecht, Jochen",F,2009/10,Buffalo,3
0.523,6.378048780,1,Flu,"Kaleta, Patrick",F,2009/10,Buffalo,1
0.523,38.268292683,6,Foot,"Kaleta, Patrick",F,2009/10,Buffalo,6
0.523,6.378048780,1,Head,"Kaleta, Patrick",F,2009/10,Buffalo,1
0.523,38.268292683,6,Leg,"Kaleta, Patrick",F,2009/10,Buffalo,6
0.523,19.134146341,3,Neck,"Kaleta, Patrick",F,2009/10,Buffalo,3
0.523,51.024390244,8,Thumb,"Kaleta, Patrick",F,2009/10,Buffalo,8
0.758,46.219512195,5,Hip,"Mair, Adam",F,2009/10,Buffalo,5
4,97.560975610,2,Upper body,"Roy, Derek",F,2009/10,Buffalo,2
1.9,23.170731707,1,Concussion,"Stafford, Drew",F,2009/10,Buffalo,1
1.9,139.024390244,6,Groin,"Stafford, Drew",F,2009/10,Buffalo,6
1.9,23.170731707,1,Hip,"Stafford, Drew",F,2009/10,Buffalo,1
1.9,23.170731707,1,Lower body,"Stafford, Drew",F,2009/10,Buffalo,1
2.25,164.634146341,6,Upper body,"Torres, Raffi",F,2009/10,Buffalo,6
7.143,261.329268293,3,Abdominal,"Vanek, Thomas",F,2009/10,Buffalo,3
7.143,522.658536585,6,Lower body,"Vanek, Thomas",F,2009/10,Buffalo,6
7.143,174.219512195,2,Upper body,"Vanek, Thomas",F,2009/10,Buffalo,2
0.85,124.390243902,12,Ankle,"Butler, Chris",D,2009/10,Buffalo,12
2.875,385.670731707,11,Groin,"Lydman, Toni",D,2009/10,Buffalo,11
2.875,140.243902439,4,Hand,"Lydman, Toni",D,2009/10,Buffalo,4
1.55,18.902439024,1,Hip,"Montador, Steve",D,2009/10,Buffalo,1
3.5,85.365853659,2,Flu,"Rivet, Craig",D,2009/10,Buffalo,2
3.5,85.365853659,2,Leg,"Rivet, Craig",D,2009/10,Buffalo,2
1,85.365853659,7,Ribs,"Sekera, Andrej",D,2009/10,Buffalo,7
1,48.780487805,4,Groin,"Lalime, Patrick",G,2009/10,Buffalo,4
1.35,65.853658537,4,Shoulder,"Bourque, Rene",F,2009/10,Calgary,4
1.35,82.317073171,5,Undisclosed,"Bourque, Rene",F,2009/10,Calgary,5
0.65,7.926829268,1,Flu,"Boyd, Dustin",F,2009/10,Calgary,1
1.05,64.024390244,5,Foot,"Conroy, Craig",F,2009/10,Calgary,5
1.05,25.609756098,2,Knee,"Conroy, Craig",F,2009/10,Calgary,2
1.05,153.658536585,12,Knee,"Conroy, Craig",F,2009/10,Calgary,12
0.85,103.658536585,10,Leg,"Dawes, Nigel",F,2009/10,Calgary,10
1.2,175.609756098,12,Knee,"Glencross, Curtis",F,2009/10,Calgary,12
2.25,384.146341463,14,Foot,"Higgins, Chris",F,2009/10,Calgary,14
4.5,548.780487805,10,Neck,"Langkow, Daymond",F,2009/10,Calgary,10
0.55,33.536585366,5,Shoulder,"McGrattan, Brian",F,2009/10,Calgary,5
0.55,33.536585366,5,Undisclosed,"McGrattan, Brian",F,2009/10,Calgary,5
1.3,206.097560976,13,Undisclosed,"Moss, David",F,2009/10,Calgary,13
1.3,63.414634146,4,Upper body,"Moss, David",F,2009/10,Calgary,4
0.7,25.609756098,3,Undisclosed,"Pardy, Adam",D,2009/10,Calgary,3
0.7,8.536585366,1,Wrist,"Pardy, Adam",D,2009/10,Calgary,1
4.02,49.024390244,1,Leg,"Regehr, Robyn",D,2009/10,Calgary,1
3.6,219.512195122,5,Foot,"Sarich, Cory",D,2009/10,Calgary,5
3.6,834.146341463,19,Undisclosed,"Sarich, Cory",D,2009/10,Calgary,19
5.833,71.134146341,1,Illness,"Kiprusoff, Miikka",G,2009/10,Calgary,1
2.9,35.365853659,1,Illness,"Cole, Erik",F,2009/10,Carolina,1
2.9,353.658536585,10,Leg,"Cole, Erik",F,2009/10,Carolina,10
2.9,1096.341463415,31,Upper body,"Cole, Erik",F,2009/10,Carolina,31
1.7,20.731707317,1,Lower body,"Jokinen, Jussi",F,2009/10,Carolina,1
1.7,41.463414634,2,Lower body,"LaRose, Chad",F,2009/10,Carolina,2
1.7,352.439024390,17,Lower body,"LaRose, Chad",F,2009/10,Carolina,17
1.7,145.121951220,7,Undisclosed,"LaRose, Chad",F,2009/10,Carolina,7
3.8,46.341463415,1,Lower body,"Ruutu, Tuomo",F,2009/10,Carolina,1
3.8,417.073170732,9,Shoulder,"Ruutu, Tuomo",F,2009/10,Carolina,9
3.8,695.121951220,15,Upper body,"Ruutu, Tuomo",F,2009/10,Carolina,15
0.5,201.219512195,33,Concussion,"Ryan, Michael",F,2009/10,Carolina,33
2.533,92.670731707,3,Lower body,"Samsonov, Sergei",F,2009/10,Carolina,3
2.533,216.231707317,7,Upper body,"Samsonov, Sergei",F,2009/10,Carolina,7
8.25,1006.097560976,10,Upper body,"Staal, Eric",F,2009/10,Carolina,10
1.225,14.939024390,1,Lower body,"Sutter, Brandon",F,2009/10,Carolina,1
2.5,640.243902439,21,Shoulder,"Walker, Scott",F,2009/10,Carolina,21
2.5,243.902439024,8,Upper body,"Walker, Scott",F,2009/10,Carolina,8
3.55,86.585365854,2,Upper body,"Whitney, Ray",F,2009/10,Carolina,2
0.55,6.707317073,1,Lower body,"Yelle, Stephane",F,2009/10,Carolina,1
2.625,896.341463415,28,Leg,"Corvo, Joe",D,2009/10,Carolina,28
2.75,100.609756098,3,Facial,"Gleason, Tim",D,2009/10,Carolina,3
2.75,435.975609756,13,Foot,"Gleason, Tim",D,2009/10,Carolina,13
2.75,167.682926829,5,Upper body,"Gleason, Tim",D,2009/10,Carolina,5
0.8,117.073170732,12,Upper body,"Picard, Alexandre",D,2009/10,Carolina,12
4,48.780487805,1,Illness,"Pitkanen, Joni",D,2009/10,Carolina,1
4,97.560975610,2,Knee,"Pitkanen, Joni",D,2009/10,Carolina,2
4,97.560975610,2,Lower body,"Pitkanen, Joni",D,2009/10,Carolina,4
4,146.341463415,3,Lower body,"Pitkanen, Joni",D,2009/10,Carolina,3
4,48.780487805,1,Upper body,"Pitkanen, Joni",D,2009/10,Carolina,1
1.725,168.292682927,8,Upper body,"Wallin, Niclas",D,2009/10,Carolina,8
2.5,30.487804878,1,Lower body,"Ward, Aaron",D,2009/10,Carolina,1
0.5,24.390243902,4,Eye,"Legace, Manny",G,2009/10,Carolina,4
0.6,29.268292683,4,Groin,"Leighton, Michael",G,2009/10,Carolina,4
2.667,422.817073171,13,Leg,"Ward, Cam",G,2009/10,Carolina,13
2.667,585.439024390,18,Upper body,"Ward, Cam",G,2009/10,Carolina,18
3.375,41.158536585,1,Back,"Bolland, Dave",F,2009/10,Chicago,1
3.375,1687.5,41,Back,"Bolland, Dave",F,2009/10,Chicago,41
3.375,41.158536585,1,Flu,"Bolland, Dave",F,2009/10,Chicago,1
0.713,565.182926829,65,Knee,"Burish, Adam",F,2009/10,Chicago,65
0.965,47.073170732,4,Lower body,"Eager, Ben",F,2009/10,Chicago,4
0.965,47.073170732,4,Upper body,"Eager, Ben",F,2009/10,Chicago,4
0.965,152.987804878,13,Upper body,"Eager, Ben",F,2009/10,Chicago,13
5.275,64.329268293,1,Head,"Hossa, Marian",F,2009/10,Chicago,1
5.275,64.329268293,1,Lower body,"Hossa, Marian",F,2009/10,Chicago,1
5.275,1415.243902439,22,Shoulder,"Hossa, Marian",F,2009/10,Chicago,22
5.275,64.329268293,1,Upper body,"Hossa, Marian",F,2009/10,Chicago,1
1.2,14.634146341,1,Upper body,"Kopecky, Tomas",F,2009/10,Chicago,1
2.75,67.073170732,2,Lower body,"Madden, John",F,2009/10,Chicago,2
2.8,204.878048780,6,Concussion,"Toews, Jonathan",F,2009/10,Chicago,6
3.067,74.804878049,2,Flu,"Versteeg, Kris",F,2009/10,Chicago,2
3.067,37.402439024,1,Upper body,"Versteeg, Kris",F,2009/10,Chicago,1
3.083,75.195121951,2,Lower body,"Barker, Cam",D,2009/10,Chicago,2
3.083,187.987804878,5,Upper body,"Barker, Cam",D,2009/10,Chicago,5
7.143,1219.536585366,14,Collarbone,"Campbell, Brian",D,2009/10,Chicago,14
0.625,7.621951220,1,Undisclosed,"Hendry, Jordan",D,2009/10,Chicago,1
0.643,15.682926829,2,Flu,"Hjalmarsson, Niklas",D,2009/10,Chicago,2
0.643,15.682926829,2,Head,"Hjalmarsson, Niklas",D,2009/10,Chicago,2
0.643,7.841463415,1,Illness,"Hjalmarsson, Niklas",D,2009/10,Chicago,1
4.85,887.195121951,15,Concussion,"Johnsson, Kim",D,2009/10,Chicago,15
3.5,85.365853659,2,Concussion,"Seabrook, Brent",D,2009/10,Chicago,2
3.5,85.365853659,2,Head,"Seabrook, Brent",D,2009/10,Chicago,2
2.333,56.902439024,2,Foot,"Sopel, Brent",D,2009/10,Chicago,2
2.333,85.353658537,3,Lower body,"Sopel, Brent",D,2009/10,Chicago,3
2.333,28.451219512,1,Soreness,"Sopel, Brent",D,2009/10,Chicago,1
5.625,137.195121951,2,Flu,"Huet, Cristobal",G,2009/10,Chicago,2
0.827,10.085365854,1,Illness,"Niemi, Antti",G,2009/10,Chicago,1
3.4,41.463414634,1,Torso,"Duchene, Matt",F,2009/10,Colorado,1
0.875,96.036585366,9,Ankle,"Galiardi, T.J.",F,2009/10,Colorado,9
0.875,21.341463415,2,Torso,"Galiardi, T.J.",F,2009/10,Colorado,2
3.9,95.121951220,2,Back,"Hejduk, Milan",F,2009/10,Colorado,2
3.9,95.121951220,2,Knee,"Hejduk, Milan",F,2009/10,Colorado,2
3.9,142.682926829,3,Knee,"Hejduk, Milan",F,2009/10,Colorado,3
3.9,808.536585366,17,Knee,"Hejduk, Milan",F,2009/10,Colorado,17
0.5,73.170731707,12,Ankle,"Hendricks, Matt",F,2009/10,Colorado,12
0.5,30.487804878,5,Groin,"Hendricks, Matt",F,2009/10,Colorado,5
0.5,36.585365854,6,Groin,"Hendricks, Matt",F,2009/10,Colorado,6
0.838,40.878048780,4,Chest,"Jones, David",F,2009/10,Colorado,4
0.838,562.073170732,55,Knee,"Jones, David",F,2009/10,Colorado,55
0.575,147.256097561,21,Hand,"Koci, David",F,2009/10,Colorado,21
1.033,75.585365854,6,Eye,"McLeod, Cody",F,2009/10,Colorado,6
1.033,25.195121951,2,Leg,"McLeod, Cody",F,2009/10,Colorado,2
1.7,82.926829268,4,Concussion,"Mueller, Peter",F,2009/10,Colorado,4
0.9,10.975609756,1,Foot,"O'Reilly, Ryan",F,2009/10,Colorado,1
0.85,93.292682927,9,Shoulder,"Stoa, Ryan",F,2009/10,Colorado,9
2.05,150,6,Chest,"Svatos, Marek",F,2009/10,Colorado,6
2.05,150,6,Groin,"Svatos, Marek",F,2009/10,Colorado,12
2.25,219.512195122,8,Concussion,"Tucker, Darcy",F,2009/10,Colorado,8
2.25,27.439024390,1,Illness,"Tucker, Darcy",F,2009/10,Colorado,1
0.55,53.658536585,8,Leg,"Yelle, Stephane",F,2009/10,Colorado,8
0.575,98.170731707,14,Shoulder,"Yip, Brandon",F,2009/10,Colorado,14
3.5,213.414634146,5,Cheek,"Clark, Brett",D,2009/10,Colorado,5
0.6,36.585365854,5,Concussion,"Cumiskey, Kyle",D,2009/10,Colorado,5
0.6,117.073170732,16,Foot,"Cumiskey, Kyle",D,2009/10,Colorado,16
3,256.097560976,7,Ankle,"Foote, Adam",D,2009/10,Colorado,7
3,36.585365854,1,Back,"Foote, Adam",D,2009/10,Colorado,1
3,182.926829268,5,Jaw,"Foote, Adam",D,2009/10,Colorado,5
4.2,51.219512195,1,Flu,"Liles, John-Michael",D,2009/10,Colorado,1
4.2,256.097560976,5,Shoulder,"Liles, John-Michael",D,2009/10,Colorado,5
4.2,358.536585366,7,Shoulder,"Liles, John-Michael",D,2009/10,Colorado,7
2.75,33.536585366,1,Fatigue,"Preissing, Tom",D,2009/10,Colorado,1
2.75,536.585365854,16,Knee,"Preissing, Tom",D,2009/10,Colorado,16
3.025,2065.853658537,56,Back,"Salei, Ruslan",D,2009/10,Colorado,56
3.025,184.451219512,5,Upper body,"Salei, Ruslan",D,2009/10,Colorado,5
0.552,33.658536585,5,Concussion,"Wilson, Ryan",D,2009/10,Colorado,5
0.552,13.463414634,2,Head,"Wilson, Ryan",D,2009/10,Colorado,2
1.813,88.439024390,4,Neck,"Anderson, Craig",G,2009/10,Colorado,4
1.25,60.975609756,4,Flu,"Budaj, Peter",G,2009/10,Colorado,4
0.735,26.890243902,3,Upper body,"Blunden, Mike",F,2009/10,Columbus,3
0.743,81.548780488,9,Hand,"Boll, Jared",F,2009/10,Columbus,9
1.247,15.207317073,1,Hand,"Brassard, Derick",F,2009/10,Columbus,1
1.247,30.414634146,2,Hand,"Brassard, Derick",F,2009/10,Columbus,2
2.633,96.329268293,3,Knee,"Clark, Chris",F,2009/10,Columbus,3
0.563,6.865853659,1,Arm,"Dorsett, Derek",F,2009/10,Columbus,1
0.563,61.792682927,9,Concussion,"Dorsett, Derek",F,2009/10,Columbus,9
0.563,6.865853659,1,Hand,"Dorsett, Derek",F,2009/10,Columbus,1
0.563,102.987804878,15,Hand,"Dorsett, Derek",F,2009/10,Columbus,15
0.563,6.865853659,1,Undisclosed,"Dorsett, Derek",F,2009/10,Columbus,1
2.196,26.780487805,1,Back,"Filatov, Nikita",F,2009/10,Columbus,1
4.75,57.926829268,1,Flu,"Huselius, Kristian",F,2009/10,Columbus,1
4.75,115.853658537,2,Hand,"Huselius, Kristian",F,2009/10,Columbus,2
4.75,57.926829268,1,Upper body,"Huselius, Kristian",F,2009/10,Columbus,1
4.75,231.707317073,4,Upper body,"Huselius, Kristian",F,2009/10,Columbus,4
0.55,100.609756098,15,Knee,"MacKenzie, Derek",F,2009/10,Columbus,15
3.25,118.902439024,3,Foot,"Modin, Fredrik",F,2009/10,Columbus,3
3.25,237.804878049,6,Foot,"Modin, Fredrik",F,2009/10,Columbus,6
3.25,1228.658536585,31,Knee,"Modin, Fredrik",F,2009/10,Columbus,31
0.625,15.243902439,2,Head,"Murray, Andrew",F,2009/10,Columbus,2
0.625,137.195121951,18,Shoulder,"Murray, Andrew",F,2009/10,Columbus,18
5.4,263.414634146,4,Lower body,"Nash, Rick",F,2009/10,Columbus,4
5.4,131.707317073,2,Neck,"Nash, Rick",F,2009/10,Columbus,2
2.65,96.951219512,3,Elbow,"Pahlsson, Sami",F,2009/10,Columbus,3
0.866,10.560975610,1,Lower body,"Picard, Alexandre",F,2009/10,Columbus,1
2.25,54.878048780,2,Facial,"Torres, Raffi",F,2009/10,Columbus,2
2.25,27.439024390,1,Flu,"Torres, Raffi",F,2009/10,Columbus,1
1.271,15.5,1,Upper body,"Voracek, Jakub",F,2009/10,Columbus,1
3.75,91.463414634,2,Fatigue,"Commodore, Mike",D,2009/10,Columbus,2
3.75,365.853658537,8,Groin,"Commodore, Mike",D,2009/10,Columbus,8
3.75,45.731707317,1,Knee,"Commodore, Mike",D,2009/10,Columbus,1
3.75,91.463414634,2,Leg,"Commodore, Mike",D,2009/10,Columbus,2
3.75,320.121951220,7,Leg,"Commodore, Mike",D,2009/10,Columbus,7
3.75,228.658536585,5,Undisclosed,"Commodore, Mike",D,2009/10,Columbus,5
2,195.121951220,8,Knee,"Hejda, Jan",D,2009/10,Columbus,8
2,292.682926829,12,Knee,"Hejda, Jan",D,2009/10,Columbus,12
1.375,50.304878049,3,Flu,"Jurcina, Milan",D,2009/10,Columbus,3
1.6,1092.682926829,56,Groin,"Klesla, Rostislav",D,2009/10,Columbus,56
1.013,37.060975610,3,Illness,"Methot, Marc",D,2009/10,Columbus,3
1.013,24.707317073,2,Upper body,"Methot, Marc",D,2009/10,Columbus,2
1.013,148.243902439,12,Upper body,"Methot, Marc",D,2009/10,Columbus,12
0.744,18.146341463,2,Arm,"Russell, Kris",D,2009/10,Columbus,2
0.744,18.146341463,2,Illness,"Russell, Kris",D,2009/10,Columbus,2
0.744,18.146341463,2,Lower body,"Russell, Kris",D,2009/10,Columbus,2
0.732,17.853658537,2,Flu,"Stralman, Anton",D,2009/10,Columbus,2
0.732,8.926829268,1,Illness,"Stralman, Anton",D,2009/10,Columbus,1
0.732,26.780487805,3,Illness,"Stralman, Anton",D,2009/10,Columbus,3
0.732,8.926829268,1,Lower body,"Stralman, Anton",D,2009/10,Columbus,1
2.844,34.682926829,1,Leg,"Tyutin, Fedor",D,2009/10,Columbus,1
2.844,34.682926829,1,Upper body,"Tyutin, Fedor",D,2009/10,Columbus,1
0.575,7.012195122,1,Flu,"Barch, Krys",F,2009/10,Dallas,1
0.575,56.097560976,8,Leg,"Barch, Krys",F,2009/10,Dallas,8
2.225,189.939024390,7,Shoulder,"Brunnstrom, Fabian",F,2009/10,Dallas,7
2.5,274.390243902,9,Chest,"Lehtinen, Jere",F,2009/10,Dallas,9
2.5,60.975609756,2,Groin,"Lehtinen, Jere",F,2009/10,Dallas,4
2.5,91.463414634,3,Groin,"Lehtinen, Jere",F,2009/10,Dallas,3
2.5,30.487804878,1,Illness,"Lehtinen, Jere",F,2009/10,Dallas,1
2.5,30.487804878,1,Knee,"Lehtinen, Jere",F,2009/10,Dallas,1
2.5,182.926829268,6,Upper body,"Lehtinen, Jere",F,2009/10,Dallas,6
3.45,378.658536585,9,Appendectomy,"Modano, Mike",F,2009/10,Dallas,9
3.45,42.073170732,1,Lower body,"Modano, Mike",F,2009/10,Dallas,1
3.45,546.951219512,13,Ribs,"Modano, Mike",F,2009/10,Dallas,13
4.1,50,1,Flu,"Morrow, Brenden",F,2009/10,Dallas,1
4.1,50,1,Foot,"Morrow, Brenden",F,2009/10,Dallas,1
4.1,200,4,Upper body,"Morrow, Brenden",F,2009/10,Dallas,4
0.822,20.048780488,2,Groin,"Neal, James",F,2009/10,Dallas,2
1.425,52.134146341,3,Appendectomy,"Ott, Steve",F,2009/10,Dallas,3
1.425,69.512195122,4,Oblique,"Ott, Steve",F,2009/10,Dallas,4
0.5,12.195121951,2,Orbital bone,"Peters, Warren",F,2009/10,Dallas,2
5,914.634146341,15,Throat,"Ribeiro, Mike",F,2009/10,Dallas,15
7.8,190.243902439,2,Groin,"Richards, Brad",F,2009/10,Dallas,2
0.813,9.914634146,1,Groin,"Sutherby, Brian",F,2009/10,Dallas,1
0.813,79.317073171,8,Groin,"Sutherby, Brian",F,2009/10,Dallas,8
0.813,109.060975610,11,Upper body,"Sutherby, Brian",F,2009/10,Dallas,11
0.6,234.146341463,32,Knee,"Wandell, Tom",F,2009/10,Dallas,32
2.3,140.243902439,5,Shoulder,"Daley, Trevor",D,2009/10,Dallas,5
1,60.975609756,5,Concussion,"Fistric, Mark",D,2009/10,Dallas,5
1,12.195121951,1,Illness,"Fistric, Mark",D,2009/10,Dallas,1
1,60.975609756,5,Knee,"Fistric, Mark",D,2009/10,Dallas,5
0.975,47.560975610,4,Back,"Grossman, Nicklas",D,2009/10,Dallas,4
0.975,59.451219512,5,Lower body,"Grossman, Nicklas",D,2009/10,Dallas,5
0.975,23.780487805,2,Soreness,"Grossman, Nicklas",D,2009/10,Dallas,2
0.85,10.365853659,1,Head,"Niskanen, Matt",D,2009/10,Dallas,1
1.375,33.536585366,2,Finger,"Skrastins, Karlis",D,2009/10,Dallas,2
5.7,69.512195122,1,Flu,"Turco, Marty",G,2009/10,Dallas,1
5.7,139.024390244,2,Flu,"Turco, Marty",G,2009/10,Dallas,2
2.8,68.292682927,2,Groin,"Cleary, Dan",F,2009/10,Detroit,2
2.8,136.585365854,4,Groin,"Cleary, Dan",F,2009/10,Detroit,4
2.8,409.756097561,12,Shoulder,"Cleary, Dan",F,2009/10,Detroit,12
6.7,163.414634146,2,Upper body,"Datsyuk, Pavel",F,2009/10,Detroit,2
0.5,6.097560976,1,Ankle,"Eaves, Patrick",F,2009/10,Detroit,1
0.5,18.292682927,3,Ankle,"Eaves, Patrick",F,2009/10,Detroit,3
0.5,6.097560976,1,Flu,"Eaves, Patrick",F,2009/10,Detroit,1
0.5,6.097560976,1,Foot,"Eaves, Patrick",F,2009/10,Detroit,1
0.5,18.292682927,3,Head,"Eaves, Patrick",F,2009/10,Detroit,3
3,36.585365854,1,Groin,"Filppula, Valtteri",F,2009/10,Detroit,1
3,951.219512195,26,Wrist,"Filppula, Valtteri",F,2009/10,Detroit,26
3.955,2652.743902439,55,Knee,"Franzen, Johan",F,2009/10,Detroit,55
0.599,29.219512195,4,Arm,"Helm, Darren",F,2009/10,Detroit,4
