,Player,Team,Position,Height,Weight,Birthdate
46,"Aube-Kubel, Nicolas  Aube-Kubel, Nicolas",PHI,RW,"5'11""",196,5/10/1996
47,"Austin, Brady  Austin, Brady",FA,-,-,-,6/16/1993
48,"Auvitu, Yohann  Auvitu, Yohann",EDM,D,"5'11""",187,7/27/1989
49,"Bachman, Richard  Bachman, Richard",VAN,G,"5'10""",183,7/25/1987
50,"Backes, David  Backes, David",BOS,RW,"6'3""",215,5/01/1984
51,"Backlund, Mikael  Backlund, Mikael",CGY,C,"6'0""",200,3/17/1989
52,"Backstrom, Nicklas  Backstrom, Nicklas",WSH,C,"6'1""",210,11/23/1987
53,"Baddock, Brandon  Baddock, Brandon",FA,-,-,-,3/29/1995
54,"Baertschi, Sven  Baertschi, Sven",VAN,LW,"5'11""",190,10/05/1992
55,"Bailey, Josh  Bailey, Josh",NYI,RW,"6'1""",212,10/02/1989
56,"Bailey, Justin  Bailey, Justin",PHI,RW,"6'4""",214,7/01/1995
57,"Bajkov, Patrick  Bajkov, Patrick",FA,-,-,-,11/27/1997
58,"Bakos, Martin  Bakos, Martin",BOS,C,"6'2""",198,4/18/1990
59,"Balcers, Rudolfs  Balcers, Rudolfs",OTT,LW,"5'11""",175,4/08/1997
60,"Balisy, Chase  Balisy, Chase",FA,-,-,-,2/02/1992
61,"Bancks, Carter  Bancks, Carter",VAN,LW,"5'11""",185,8/09/1989
62,"Baptiste, Nicholas  Baptiste, Nicholas",NSH,RW,"6'1""",205,8/04/1995
63,"Barbashev, Ivan  Barbashev, Ivan",STL,C,"6'0""",187,12/14/1995
64,"Barber, Riley  Barber, Riley",FA,-,-,-,2/07/1994
65,"Barberio, Mark  Barberio, Mark",COL,D,"6'1""",200,3/23/1990
66,"Bardreau, Cole  Bardreau, Cole",FA,-,-,-,7/22/1993
67,"Barkov, Aleksander  Barkov, Aleksander",FLA,C,"6'3""",213,9/02/1995
68,"Barre-Boulet, Alex  Barre-Boulet, Alex",TB,C,"5'10""",165,5/21/1997
69,"Barrie, Tyson  Barrie, Tyson",COL,D,"5'10""",190,7/26/1991
70,"Barron, Travis  Barron, Travis",FA,-,-,-,8/17/1998
71,"Bartkowski, Matt  Bartkowski, Matt",MIN,D,"6'1""",196,6/04/1988
72,"Barzal, Mathew  Barzal, Mathew",NYI,C,"6'0""",187,5/26/1997
73,"Bass, Cody  Bass, Cody",FA,-,-,-,1/07/1987
74,"Bastian, Nathan  Bastian, Nathan",NJ,RW,"6'4""",207,12/06/1997
75,"Batherson, Drake  Batherson, Drake",OTT,RW,"6'1""",187,4/27/1998
76,"Bauman, Kyle  Bauman, Kyle",FA,-,-,-,4/14/1993
77,"Bayreuther, Gavin  Bayreuther, Gavin",DAL,D,"6'1""",195,5/12/1994
78,"Beagle, Jay  Beagle, Jay",VAN,C,"6'3""",210,10/16/1985
79,"Bean, Jake  Bean, Jake",CAR,D,"6'1""",173,6/09/1998
80,"Bear, Ethan  Bear, Ethan",EDM,D,"5'11""",198,6/26/1997
81,"Beaudin, J.C.  Beaudin, J.C.",FA,-,-,-,3/25/1997
82,"Beaudin, Nicolas  Beaudin, Nicolas",FA,-,-,-,10/07/1999
83,"Beaulieu, Nathan  Beaulieu, Nathan",WPG,D,"6'2""",200,12/05/1992
84,"Beauvillier, Anthony  Beauvillier, Anthony",NYI,LW,"5'11""",182,6/08/1997
85,"Beleskey, Matt  Beleskey, Matt",NYR,LW,"6'0""",203,6/07/1988
86,"Bellemare, Pierre-Edouard  Bellemare, Pierre-Edouard",VGK,C,"6'0""",198,3/06/1985
87,"Bellerive, Jordy  Bellerive, Jordy",FA,-,-,-,5/02/1999
88,"Bellows, Kieffer  Bellows, Kieffer",FA,-,-,-,6/10/1998
89,"Belpedio, Louie  Belpedio, Louie",MIN,D,"5'11""",193,5/14/1996
90,"Bengtsson, Lukas  Bengtsson, Lukas",PIT,D,"5'11""",172,4/14/1994
91,"Benn, Jamie  Benn, Jamie",DAL,LW,"6'2""",205,7/18/1989
92,"Benn, Jordie  Benn, Jordie",MTL,D,"6'2""",199,7/26/1987
93,"Bennett, Sam  Bennett, Sam",CGY,C,"6'1""",195,6/20/1996
94,"Benning, Matt  Benning, Matt",EDM,D,"6'1""",203,5/25/1994
95,"Benoit, Simon  Benoit, Simon",ANA,D,"6'3""",189,9/19/1998
96,"Benson, Tyler  Benson, Tyler",FA,-,-,-,3/15/1998
97,"Bergeron, Patrice  Bergeron, Patrice",BOS,C,"6'1""",195,7/24/1985
98,"Berglund, Patrik  Berglund, Patrik",BUF,LW,"6'4""",219,6/02/1988
99,"Bergman, Julius  Bergman, Julius",FA,-,-,-,11/02/1995
100,"Bernier, Jonathan  Bernier, Jonathan",DET,G,"6'0""",184,8/07/1988
101,"Bernier, Steve  Bernier, Steve",FA,-,-,-,3/31/1985
102,"Bertuzzi, Tyler  Bertuzzi, Tyler",DET,LW,"6'0""",190,2/24/1995
103,"Berube, Jean-Francois  Berube, Jean-Francois",CBJ,G,"6'1""",176,7/13/1991
104,"Bibeau, Antoine  Bibeau, Antoine",SJ,G,"6'3""",205,5/01/1994
105,"Biega, Alex  Biega, Alex",VAN,D,"5'10""",199,4/04/1988
106,"Bieksa, Kevin  Bieksa, Kevin",ANA,D,"6'1""",197,6/16/1981
107,"Binnington, Jordan  Binnington, Jordan",STL,G,"6'1""",174,7/11/1993
108,"Bischoff, Jake  Bischoff, Jake",VGK,D,"6'0""",197,7/25/1994
109,"Bishop, Ben  Bishop, Ben",DAL,G,"6'7""",215,11/21/1986
110,"Bishop, Clark  Bishop, Clark",CAR,C,"6'1""",199,3/29/1996
111,"Bitetto, Anthony  Bitetto, Anthony",MIN,D,"6'1""",210,7/15/1990
112,"Bitten, William  Bitten, William",FA,-,-,-,7/10/1998
113,"Bittner, Paul  Bittner, Paul",FA,-,-,-,11/04/1996
114,"Bjork, Anders  Bjork, Anders",BOS,LW,"6'0""",186,8/05/1996
115,"Bjorkstrand, Oliver  Bjorkstrand, Oliver",CBJ,RW,"6'0""",177,4/10/1995
116,"Bjugstad, Nick  Bjugstad, Nick",PIT,C,"6'6""",215,7/17/1992
117,"Blackwell, Colin  Blackwell, Colin",NSH,C,"5'9""",190,3/28/1993
118,"Blackwood, Mackenzie  Blackwood, Mackenzie",NJ,G,"6'4""",225,12/09/1996
119,"Blais, Sammy  Blais, Sammy",STL,LW,"6'2""",205,6/17/1996
120,"Blandisi, Joseph  Blandisi, Joseph",PIT,LW,"6'0""",182,7/18/1994
121,"Blidh, Anton  Blidh, Anton",BOS,LW,"6'0""",201,3/14/1995
122,"Blueger, Teddy  Blueger, Teddy",PIT,LW,"6'0""",185,8/15/1994
123,"Bobrovsky, Sergei  Bobrovsky, Sergei",CBJ,G,"6'2""",182,9/20/1988
124,"Boedker, Mikkel  Boedker, Mikkel",OTT,LW,"6'0""",210,12/16/1989
125,"Boes, Corbin  Boes, Corbin",TB,G,"6'3""",225,7/18/1993
126,"Boeser, Brock  Boeser, Brock",VAN,RW,"6'1""",208,2/25/1997
127,"Bogosian, Zach  Bogosian, Zach",BUF,D,"6'3""",221,7/15/1990
128,"Boikov, Sergei  Boikov, Sergei",FA,-,-,-,1/24/1996
129,"Boll, Jared  Boll, Jared",ANA,RW,"6'3""",206,5/13/1986
130,"Bonino, Nick  Bonino, Nick",NSH,C,"6'1""",196,4/20/1988
131,"Booth, Callum  Booth, Callum",FA,-,-,-,5/21/1997
132,"Booth, David  Booth, David",DET,LW,"6'0""",212,11/24/1984
133,"Boqvist, Adam  Boqvist, Adam",FA,-,-,-,8/15/2000
134,"Borgen, Will  Borgen, Will",BUF,D,"6'2""",199,12/19/1996
135,"Borgman, Andreas  Borgman, Andreas",FA,-,-,-,6/18/1995
136,"Borgstrom, Henrik  Borgstrom, Henrik",FLA,C,"6'3""",190,8/06/1997
137,"Borowiecki, Mark  Borowiecki, Mark",OTT,D,"6'1""",207,7/12/1989
138,"Bortuzzo, Robert  Bortuzzo, Robert",STL,D,"6'4""",216,3/18/1989
139,"Bouchard, Evan  Bouchard, Evan",EDM,D,"6'2""",192,10/20/1999
140,"Boucher, Reid  Boucher, Reid",VAN,LW,"5'10""",195,9/08/1993
141,"Bourke, Troy  Bourke, Troy",TB,LW,"5'10""",170,3/30/1994
142,"Bournival, Michael  Bournival, Michael",TB,LW,"5'11""",195,5/31/1992
143,"Bourque, Chris  Bourque, Chris",FA,-,-,-,1/29/1986
144,"Bourque, Gabriel  Bourque, Gabriel",COL,LW,"5'10""",206,9/23/1990
145,"Bourque, Ryan  Bourque, Ryan",FA,-,-,-,1/03/1991
146,"Bouthillier, Zachary  Bouthillier, Zachary",TOR,G,"6'3""",187,11/08/1999
147,"Bouwmeester, Jay  Bouwmeester, Jay",STL,D,"6'4""",206,9/27/1983
148,"Bow, Landon  Bow, Landon",DAL,G,"6'4""",210,8/24/1995
149,"Bowey, Madison  Bowey, Madison",DET,D,"6'2""",198,4/22/1995
150,"Boychuk, Johnny  Boychuk, Johnny",NYI,D,"6'2""",227,1/19/1984
151,"Boyd, Travis  Boyd, Travis",WSH,C,"5'11""",185,9/14/1993
152,"Boyle, Brian  Boyle, Brian",NSH,C,"6'6""",245,12/18/1984
153,"Boyle, Kevin  Boyle, Kevin",ANA,G,"6'1""",197,5/30/1992
154,"Bozak, Tyler  Bozak, Tyler",STL,C,"6'1""",199,3/19/1986
155,"Bracco, Jeremy  Bracco, Jeremy",TOR,C,"5'11""",181,3/17/1997
156,"Bradley, Matthew  Bradley, Matthew",TOR,C,"6'0""",200,1/22/1997
157,"Brannstrom, Erik  Brannstrom, Erik",OTT,D,"5'10""",179,9/02/1999
158,"Brassard, Derick  Brassard, Derick",COL,C,"6'1""",202,9/22/1987
159,"Brassart, Brady  Brassart, Brady",TB,C,"6'1""",207,6/15/1993
160,"Bratt, Jesper  Bratt, Jesper",NJ,LW,"5'10""",175,7/30/1998
161,"Braun, Justin  Braun, Justin",PHI,D,"6'2""",205,2/10/1987
162,"Breen, Chris  Breen, Chris",BOS,D,"6'7""",224,6/29/1989
163,"Brennan, T.J.  Brennan, T.J.",FA,-,-,-,4/03/1989
164,"Brickley, Connor  Brickley, Connor",NYR,RW,"6'0""",203,2/25/1992
165,"Brickley, Daniel  Brickley, Daniel",LA,D,"6'3""",205,3/30/1995
166,"Brisebois, Guillaume  Brisebois, Guillaume",VAN,D,"6'2""",175,7/21/1997
167,"Broadhurst, Alex  Broadhurst, Alex",CBJ,C,"6'0""",178,3/07/1993
168,"Broadhurst, Terry  Broadhurst, Terry",FA,-,-,-,11/30/1988
169,"Brodie, T.J.  Brodie, T.J.",CGY,D,"6'1""",185,6/07/1990
170,"Brodin, Jonas  Brodin, Jonas",MIN,D,"6'1""",198,7/12/1993
171,"Brodziak, Kyle  Brodziak, Kyle",EDM,C,"6'2""",205,5/25/1984
172,"Brodzinski, Jonny  Brodzinski, Jonny",LA,RW,"6'1""",208,6/19/1993
173,"Brook, Josh  Brook, Josh",FA,-,-,-,6/17/1999
174,"Brooks, Adam  Brooks, Adam",TOR,C,"5'11""",180,5/06/1996
175,"Brossoit, Laurent  Brossoit, Laurent",WPG,G,"6'3""",204,3/23/1993
176,"Brouwer, Troy  Brouwer, Troy",FLA,RW,"6'3""",213,8/17/1985
177,"Brown, Connor  Brown, Connor",TOR,RW,"6'0""",183,1/14/1994
178,"Brown, Dustin  Brown, Dustin",LA,RW,"6'0""",210,11/04/1984
179,"Brown, J.T.  Brown, J.T.",MIN,RW,"5'10""",166,7/02/1990
180,"Brown, Joshua  Brown, Joshua",FLA,D,"6'5""",225,1/21/1994
181,"Brown, Logan  Brown, Logan",OTT,C,"6'6""",220,3/05/1998
182,"Brown, Patrick  Brown, Patrick",CAR,C,"6'1""",210,5/29/1992
183,"Brown-DUP, Josh  Brown-DUP, Josh",FA,D,"6'5""",225,1/21/1994
184,"Brule, Gilbert  Brule, Gilbert",FA,-,-,-,1/01/1987
185,"Bryson, Jacob  Bryson, Jacob",BUF,D,"5'9""",175,11/18/1997
186,"Buchnevich, Pavel  Buchnevich, Pavel",NYR,RW,"6'3""",196,4/17/1995
187,"Budaj, Peter  Budaj, Peter",LA,G,"6'1""",196,9/18/1982
188,"Bunnaman, Connor  Bunnaman, Connor",FA,-,-,-,4/16/1998
189,"Bunting, Michael  Bunting, Michael",ARI,LW,"5'11""",196,9/17/1995
190,"Burakovsky, Andre  Burakovsky, Andre",WSH,LW,"6'3""",201,2/09/1995
191,"Burgdoerfer, Erik  Burgdoerfer, Erik",OTT,D,"6'1""",207,12/11/1988
192,"Burke, Brayden  Burke, Brayden",FA,-,-,-,1/01/1997
193,"Burns, Brent  Burns, Brent",SJ,D,"6'5""",230,3/09/1985
194,"Burroughs, Kyle  Burroughs, Kyle",FA,-,-,-,7/12/1995
195,"Burrows, Alexandre  Burrows, Alexandre",OTT,RW,"6'1""",197,4/11/1981
196,"Butcher, Will  Butcher, Will",NJ,D,"5'10""",190,1/06/1995
197,"Butler, Chris  Butler, Chris",STL,D,"6'1""",196,10/27/1986
198,"Byfuglien, Dustin  Byfuglien, Dustin",WPG,D,"6'5""",4,3/27/1985
199,"Byron, Blaine  Byron, Blaine",FA,-,-,-,2/21/1995
200,"Byron, Paul  Byron, Paul",MTL,RW,"5'9""",163,4/27/1989
201,"Bystrom, Ludwig  Bystrom, Ludwig",FA,-,-,-,7/20/1994
202,"Caamano, Nicholas  Caamano, Nicholas",DAL,RW,"6'2""",190,9/07/1998
203,"Caggiula, Drake  Caggiula, Drake",CHI,C,"5'10""",176,6/20/1994
204,"Cajkovsky, Michal  Cajkovsky, Michal",FA,-,-,-,5/06/1992
205,"Calderone, Tony  Calderone, Tony",DAL,RW,"6'0""",200,10/15/1998
206,"Callahan, Ryan  Callahan, Ryan",TB,RW,"5'10""",187,3/21/1985
207,"Calvert, Matt  Calvert, Matt",COL,LW,"5'11""",186,12/24/1989
208,"Cammalleri, Michael  Cammalleri, Michael",EDM,LW,"5'9""",185,6/08/1982
209,"Campbell, Colin  Campbell, Colin",FA,-,-,-,4/17/1991
210,"Campbell, Jack  Campbell, Jack",LA,G,"6'2""",197,1/09/1992
211,"Camper, Carter  Camper, Carter",FA,-,-,-,7/06/1988
212,"Cannata, Joe  Cannata, Joe",COL,G,"6'1""",205,1/02/1990
213,"Capobianco, Kyle  Capobianco, Kyle",ARI,D,"6'1""",196,8/13/1997
214,"Carey, Greg  Carey, Greg",FA,-,-,-,4/05/1990
215,"Carey, Paul  Carey, Paul",BOS,C,"6'1""",200,9/24/1988
216,"Carlo, Brandon  Carlo, Brandon",BOS,D,"6'5""",212,11/26/1996
217,"Carlson, John  Carlson, John",WSH,D,"6'3""",218,1/10/1990
218,"Carlsson, Gabriel  Carlsson, Gabriel",CBJ,D,"6'5""",192,1/02/1997
219,"Carlsson, Lucas  Carlsson, Lucas",FA,-,-,-,7/05/1997
220,"Carpenter, Ryan  Carpenter, Ryan",VGK,C,"6'0""",200,1/18/1991
221,"Carr, Daniel  Carr, Daniel",VGK,LW,"6'0""",191,11/01/1991
222,"Carrick, Connor  Carrick, Connor",NJ,D,"5'11""",192,4/13/1994
223,"Carrick, Sam  Carrick, Sam",ANA,C,"6'0""",188,2/04/1994
224,"Carrick, Trevor  Carrick, Trevor",FA,-,-,-,7/04/1994
225,"Carrier, Alexander  Carrier, Alexander",NSH,D,"5'11""",174,10/08/1996
226,"Carrier, William  Carrier, William",VGK,LW,"6'2""",212,12/20/1994
227,"Carter, Jeff  Carter, Jeff",LA,C,"6'3""",219,1/01/1985
228,"Cave, Colby  Cave, Colby",EDM,C,"6'1""",200,12/26/1994
229,"Ceci, Cody  Ceci, Cody",OTT,D,"6'2""",209,12/21/1993
230,"Cehlarik, Peter  Cehlarik, Peter",BOS,LW,"6'2""",202,8/02/1995
231,"Cernak, Erik  Cernak, Erik",TB,D,"6'4""",225,5/28/1997
232,"Chabot, Thomas  Chabot, Thomas",OTT,D,"6'2""",196,1/30/1997
233,"Chainey, Jocktan  Chainey, Jocktan",NJ,D,"6'1""",194,9/08/1999
234,"Chaput, Michael  Chaput, Michael",MTL,C,"6'2""",199,4/09/1992
235,"Chara, Zdeno  Chara, Zdeno",BOS,D,"6'9""",250,3/18/1977
236,"Chartier, Rourke  Chartier, Rourke",SJ,C,"5'11""",190,4/03/1996
237,"Chatfield, Jalen  Chatfield, Jalen",VAN,D,"6'0""",180,5/16/1996
238,"Chekhovich, Ivan  Chekhovich, Ivan",FA,-,-,-,1/04/1999
239,"Chelios, Jake  Chelios, Jake",DET,D,"6'2""",185,3/08/1991
240,"Chiarot, Ben  Chiarot, Ben",WPG,D,"6'3""",219,5/09/1991
241,"Chiasson, Alex  Chiasson, Alex",EDM,RW,"6'4""",208,10/01/1990
242,"Chimera, Jason  Chimera, Jason",ANA,RW,"6'3""",215,5/02/1979
243,"Chlapik, Filip  Chlapik, Filip",OTT,C,"6'1""",196,6/03/1997
244,"Chmelevski, Alexander  Chmelevski, Alexander",FA,-,-,-,6/09/1999
245,"Cholowski, Dennis  Cholowski, Dennis",DET,D,"6'1""",165,2/15/1998
246,"Chorney, Taylor  Chorney, Taylor",CBJ,D,"6'0""",193,4/27/1987
247,"Chychrun, Jakob  Chychrun, Jakob",ARI,D,"6'2""",210,3/31/1998
248,"Chytil, Filip  Chytil, Filip",NYR,C,"6'2""",208,9/05/1999
249,"Cirelli, Anthony  Cirelli, Anthony",TB,C,"6'0""",180,7/15/1997
250,"Cizikas, Casey  Cizikas, Casey",NYI,C,"5'11""",195,2/27/1991
251,"Claesson, Fredrik  Claesson, Fredrik",NYR,D,"6'1""",196,11/24/1992
252,"Clague, Kale  Clague, Kale",FA,-,-,-,6/05/1998
253,"Clark, Emerson  Clark, Emerson",TOR,LW,"5'10""",180,12/17/1992
254,"Clark, Kody  Clark, Kody",FA,-,-,-,10/13/1999
255,"Clendening, Adam  Clendening, Adam",CBJ,D,"6'0""",196,10/26/1992
256,"Clifford, Kyle  Clifford, Kyle",LA,LW,"6'2""",211,1/13/1991
257,"Clifton, Connor  Clifton, Connor",BOS,D,"5'11""",175,4/28/1995
258,"Clune, Richard  Clune, Richard",TOR,LW,"5'10""",207,4/25/1987
259,"Clutterbuck, Cal  Clutterbuck, Cal",NYI,RW,"5'11""",216,11/18/1987
260,"Coburn, Braydon  Coburn, Braydon",TB,D,"6'5""",223,2/27/1985
261,"Cogliano, Andrew  Cogliano, Andrew",DAL,C,"5'10""",177,6/14/1987
262,"Cole, Ian  Cole, Ian",COL,D,"6'1""",219,2/21/1989
263,"Coleman, Blake  Coleman, Blake",NJ,C,"5'11""",200,11/28/1991
264,"Collins, Ryan  Collins, Ryan",FA,-,-,-,5/06/1996
265,"Colton, Ross  Colton, Ross",TB,LW,"6'0""",190,9/11/1996
266,"Comeau, Blake  Comeau, Blake",DAL,LW,"6'1""",200,2/18/1986
267,"Compher, J.T.  Compher, J.T.",COL,LW,"6'0""",193,4/08/1995
268,"Comrie, Eric  Comrie, Eric",WPG,G,"6'1""",180,7/06/1995
269,"Comtois, Maxime  Comtois, Maxime",ANA,LW,"6'2""",205,1/08/1999
270,"Conacher, Cory  Conacher, Cory",TB,C,"5'8""",180,12/14/1989
271,"Condon, Mike  Condon, Mike",OTT,G,"6'2""",197,4/27/1990
272,"Condra, Erik  Condra, Erik",DAL,RW,"5'11""",188,8/06/1986
273,"Connauton, Kevin  Connauton, Kevin",COL,D,"6'2""",205,2/23/1990
274,"Connolly, Brett  Connolly, Brett",WSH,RW,"6'3""",195,5/02/1992
275,"Connor, Kyle  Connor, Kyle",WPG,LW,"6'1""",182,12/09/1996
276,"Cooper, Brian  Cooper, Brian",NSH,D,"5'10""",196,11/01/1993
277,"Copley, Pheonix  Copley, Pheonix",WSH,G,"6'4""",200,1/18/1992
278,"Copp, Andrew  Copp, Andrew",WPG,C,"6'1""",206,7/08/1994
279,"Coreau, Jared  Coreau, Jared",STL,G,"6'6""",220,11/05/1991
280,"Cornel, Eric  Cornel, Eric",BUF,C,"6'2""",198,4/11/1996
281,"Cousins, Nick  Cousins, Nick",ARI,C,"5'11""",185,7/20/1993
282,"Couture, Logan  Couture, Logan",SJ,C,"6'1""",200,3/28/1989
283,"Couturier, Sean  Couturier, Sean",PHI,C,"6'3""",211,12/07/1992
284,"Coyle, Charlie  Coyle, Charlie",BOS,C,"6'3""",200,3/02/1992
285,"Cracknell, Adam  Cracknell, Adam",ANA,RW,"6'2""",218,7/15/1985
286,"Cramarossa, Joseph  Cramarossa, Joseph",PIT,C,"6'0""",192,10/26/1992
287,"Crawford, Corey  Crawford, Corey",CHI,G,"6'2""",216,12/31/1984
288,"Crawley, Brandon  Crawley, Brandon",FA,-,-,-,2/02/1997
289,"Criscuolo, Kyle  Criscuolo, Kyle",FA,-,-,-,5/05/1992
290,"Crosby, Sidney  Crosby, Sidney",PIT,C,"5'11""",200,8/07/1987
291,"Cross, Tommy  Cross, Tommy",CBJ,D,"6'3""",205,9/12/1989
292,"Crouse, Lawson  Crouse, Lawson",ARI,LW,"6'4""",220,6/23/1997
293,"Cullen, Matt  Cullen, Matt",PIT,C,"6'1""",202,11/02/1976
294,"Currie, Josh  Currie, Josh",EDM,RW,"5'10""",172,10/29/1992
295,"Czarnik, Austin  Czarnik, Austin",CGY,C,"5'9""",170,12/12/1992
296,"D'Orio, Alex  D'Orio, Alex",PIT,G,"6'2""",209,4/28/1999
297,"Daccord, Joey  Daccord, Joey",OTT,G,"6'3""",205,8/19/1996
298,"Dadonov, Evgenii  Dadonov, Evgenii",FLA,RW,"5'11""",185,3/12/1989
299,"Dahlen, Jonathan  Dahlen, Jonathan",FA,C,"5'11""",176,12/20/1997
300,"Dahlin, Rasmus  Dahlin, Rasmus",BUF,D,"6'3""",186,4/13/2000
301,"Dahlstrom, Carl  Dahlstrom, Carl",CHI,D,"6'4""",231,1/28/1995
302,"Dal Colle, Michael  Dal Colle, Michael",NYI,LW,"6'3""",204,6/20/1996
303,"Daley, Trevor  Daley, Trevor",DET,D,"5'11""",195,10/09/1983
304,"Dalpe, Zac  Dalpe, Zac",CBJ,C,"6'2""",194,11/01/1989
305,"Danault, Phillip  Danault, Phillip",MTL,C,"6'1""",198,2/24/1993
306,"Dano, Marko  Dano, Marko",WPG,C,"5'11""",212,11/30/1994
307,"Dansk, Oscar  Dansk, Oscar",VGK,G,"6'2""",187,2/28/1994
308,"Darling, Scott  Darling, Scott",CAR,G,"6'6""",232,12/22/1988
309,"Dauphin, Laurent  Dauphin, Laurent",FA,C,"6'1""",180,3/27/1995
310,"Davidson, Brandon  Davidson, Brandon",CHI,D,"6'2""",208,8/21/1991
311,"Davidsson, Jonathan  Davidsson, Jonathan",FA,-,-,-,3/12/1997
312,"Davies, Jeremy  Davies, Jeremy",NSH,D,"5'11""",180,12/04/1996
313,"Day, Logan  Day, Logan",FA,-,-,-,9/19/1994
314,"de Haan, Calvin  de Haan, Calvin",CHI,D,"6'1""",195,5/09/1991
315,"de la Rose, Jacob  de la Rose, Jacob",DET,C,"6'3""",210,5/20/1995
316,"De Leo, Chase  De Leo, Chase",ANA,C,"5'10""",185,10/25/1995
317,"Dea, Jean-Sebastien  Dea, Jean-Sebastien",PIT,C,"5'11""",175,2/08/1994
318,"DeAngelo, Anthony  DeAngelo, Anthony",NYR,D,"5'11""",180,10/24/1995
319,"DeBrincat, Alex  DeBrincat, Alex",CHI,LW,"5'7""",165,12/18/1997
320,"DeBrusk, Jake  DeBrusk, Jake",BOS,LW,"6'0""",188,10/17/1996
321,"DeKeyser, Danny  DeKeyser, Danny",DET,D,"6'3""",192,3/07/1990
322,"Del Zotto, Michael  Del Zotto, Michael",STL,D,"6'0""",201,6/24/1990
323,"Delia, Collin  Delia, Collin",CHI,G,"6'2""",208,6/20/1994
324,"Dell, Aaron  Dell, Aaron",SJ,G,"6'0""",205,5/04/1989
